Repo,IssueNum,Title_Description,Fixers,Labels,Created_at,Closed_at,Creator,Commentators,Label_adders,Label_removers,Assigns,Unassigns,Closer,Links
microsoft/PowerToys,10003,"High network traffic -1.18GB last 30 days ## 閳 Computer information

- PowerToys version: 0.31.1
- Running PowerToys as Admin: Yes
- Windows build number: Win10Pro 20H2 19042.804

## High Network traffic

When checking my network traffic I realized that PowerToys was using 1.18 GB last month. Why is this so high?

## 棣冩懖 Screenshots

![grafik](https://user-images.githubusercontent.com/59877407/109776456-e1806900-7c02-11eb-8427-fd7ed40cbf5a.png)

",yuyoyuppe,Issue-Bug;Area-Setup/Install;Area-Runner;Resolution-Fix-Committed;Priority-1,2021-03-03T08:29:18Z,2021-07-01T14:39:12Z,vieregg-jfc,enricogior;htcfreek;vieregg-jfc;crutkas;dedavis6797,vieregg-jfc;enricogior;crutkas,enricogior,,,dedavis6797,
microsoft/PowerToys,10033,"[build] failed to localize VSCode workspace plugin ```
2021-03-04T20:09:07.5588371Z [INFO] [4] [20:09:07 ERR] SourceFile 'S:\src\modules\launcher\Plugins\VSCodeWorkspaces\Properties\Resources.resx' not found.
2021-03-04T20:09:08.0589385Z [INFO] [5] [20:09:07 ERR] Localization build failed.
```",mykhailopylyp,Issue-Bug;Area-Localization;Resolution-Fix-Committed;Priority-0;Area-Build;Run-Plugin,2021-03-04T21:07:49Z,2021-04-01T18:10:37Z,enricogior,crutkas,enricogior;mykhailopylyp,enricogior,mykhailopylyp,,crutkas,
microsoft/PowerToys,10089,"[Settings][FZ] Dropdown menu still active when the module is disabled <!--
**Important: When reporting BSODs or security issues, DO NOT attach memory dumps, logs, or traces to Github issues**.
Instead, send dumps/traces to secure@microsoft.com, referencing this GitHub issue.
-->

## 閳 Computer information

- PowerToys version: 0.33.1
- PowerToy Utility: settings
- Running PowerToys as Admin: no
- Windows build number: 20h2

## 棣冩憫 Provide detailed reproduction steps (if any)

1. open settings
2. disable fz

### 閴佹棑绗 Expected result

drop-down disabled

### 閴 Actual result

drop-down enabled

## 棣冩懖 Screenshots

Edit by @enricogior:
![image](https://user-images.githubusercontent.com/3206696/110207753-ef91ec00-7e85-11eb-870e-c5d15fc2f265.png)
",niels9001,Issue-Bug;Product-Settings;Resolution-Fix-Committed;Area-User Interface,2021-03-06T13:01:48Z,2021-04-01T18:10:11Z,htcfreek,crutkas,htcfreek;enricogior,enricogior,niels9001,,crutkas,
microsoft/PowerToys,10092,"[PT Run] Plugin can not be loaded because 'Name' property is absent Version: 0.33.1.0
OS Version: Microsoft Windows NT 10.0.19042.0
IntPtr Length: 8
x64: True
Date: 3/6/2021 5:05:27 PM
Exception:
System.Reflection.ReflectionTypeLoadException: Unable to load one or more of the requested types.
Method 'get_Name' in type 'Microsoft.PowerToys.Run.Plugin.Registry.Main' from assembly 'Microsoft.PowerToys.Run.Plugin.Registry, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null' does not have an implementation.
   at System.Reflection.RuntimeModule.GetTypes(RuntimeModule module)
   at System.Reflection.RuntimeModule.GetTypes()
   at System.Reflection.Assembly.GetTypes()
   at PowerLauncher.Plugin.PluginsLoader.<>c__DisplayClass2_1.<CSharpPlugins>b__1()
   at Wox.Infrastructure.Stopwatch.Debug(String message, Action action)
   at PowerLauncher.Plugin.PluginsLoader.CSharpPlugins(List`1 source)
   at PowerLauncher.Plugin.PluginsLoader.Plugins(List`1 metadatas)
   at PowerLauncher.Plugin.PluginManager.get_AllPlugins()
   at PowerLauncher.Plugin.PluginManager.GetPluginsForInterface[T]()
   at PowerLauncher.ViewModel.MainViewModel.RegisterResultsUpdatedEvent()
   at PowerLauncher.ViewModel.MainViewModel..ctor(PowerToysRunSettings settings)
   at PowerLauncher.App.<>c__DisplayClass14_0.<OnStartup>b__0()
   at Wox.Infrastructure.Stopwatch.Normal(String message, Action action)
   at PowerLauncher.App.OnStartup(Object sender, StartupEventArgs e)
   at System.Windows.Application.OnStartup(StartupEventArgs e)
   at System.Windows.Application.<.ctor>b__1_0(Object unused)
   at System.Windows.Threading.ExceptionWrapper.InternalRealCall(Delegate callback, Object args, Int32 numArgs)
   at System.Windows.Threading.ExceptionWrapper.TryCatchWhen(Object source, Delegate callback, Object args, Int32 numArgs, Delegate catchHandler)
System.TypeLoadException: Method 'get_Name' in type 'Microsoft.PowerToys.Run.Plugin.Registry.Main' from assembly 'Microsoft.PowerToys.Run.Plugin.Registry, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null' does not have an implementation.",mykhailopylyp,Issue-Bug;Product-PowerToys Run;Resolution-Fix-Committed;Severity-Crash,2021-03-06T23:07:35Z,2021-04-01T18:10:05Z,rutalreja-deloitte,mykhailopylyp;rutalreja-deloitte;htcfreek;enricogior;crutkas,rutalreja-deloitte;Aaron-Junker;enricogior;crutkas,enricogior;crutkas,mykhailopylyp,,crutkas,
microsoft/PowerToys,10094,"[Run] System.InvalidOperationException: Collection was modified ## 閳 Computer information

- PowerToys version: 0.33.1.0
- Running PowerToys as Admin: True
- Windows build number: OS Build 18363.1379

## 棣冩憫 Details
OS 0.33.1.0
Version: Microsoft Windows NT 10.0.18363.0
IntPtr Length: 8
x64: True
Date: 2021/3/7 11:10:11 AM
Exception:
System.InvalidOperationException: Collection was modified; enumeration operation may not execute.   
at System.Collections.Generic.List`1.Enumerator.MoveNext()   
at System.Linq.Enumerable.WhereListIterator`1.MoveNext()   
at PowerLauncher.Plugin.PluginsLoader.CSharpPlugins(List`1 source)   
at PowerLauncher.Plugin.PluginsLoader.Plugins(List`1 metadatas)   
at PowerLauncher.Plugin.PluginManager.get_AllPlugins()   
at PowerLauncher.Plugin.PluginManager.GetPluginsForInterface[T]()   
at PowerLauncher.ViewModel.MainViewModel.RegisterResultsUpdatedEvent()   
at PowerLauncher.ViewModel.MainViewModel..ctor(PowerToysRunSettings settings)   
at PowerLauncher.App.<>c__DisplayClass14_0.<OnStartup>b__0()   
at Wox.Infrastructure.Stopwatch.Normal(String message, Action action)   
at PowerLauncher.App.OnStartup(Object sender, StartupEventArgs e)   
at System.Windows.Application.OnStartup(StartupEventArgs e)   
at System.Windows.Application.<.ctor>b__1_0(Object unused)   
at System.Windows.Threading.ExceptionWrapper.InternalRealCall(Delegate callback, Object args, Int32 numArgs)   
at System.Windows.Threading.ExceptionWrapper.TryCatchWhen(Object source, Delegate callback, Object args, Int32 numArgs, Delegate catchHandler)

## 棣冩懖 Screenshots
![image](https://user-images.githubusercontent.com/80185217/110227779-bcf3fc00-7f36-11eb-927e-002c4dc1acf9.png)",mykhailopylyp,Issue-Bug;Product-PowerToys Run;Resolution-Fix-Committed;Severity-Crash,2021-03-07T03:24:00Z,2021-04-01T18:09:59Z,Lin-yuren,mykhailopylyp;crutkas,Lin-yuren;mykhailopylyp;enricogior,enricogior,mykhailopylyp,,crutkas,
microsoft/PowerToys,10099,"[Settings][Plugin Manager] use relative path for icons Version 0.33.1

![image](https://user-images.githubusercontent.com/9866362/110237919-f29ce300-7f3e-11eb-8dc8-436d78a1220c.png)

Also not in dark mode (restarted PT in between)

![image](https://user-images.githubusercontent.com/9866362/110237952-19f3b000-7f3f-11eb-95aa-519fbf10d337.png)
",mykhailopylyp,Issue-Bug;Resolution-Fix-Committed;Priority-2;Cost-Small;Run-Plugin Manager,2021-03-07T11:16:33Z,2021-08-09T01:44:53Z,niels9001,htcfreek;enricogior;mykhailopylyp;dedavis6797,niels9001;Aaron-Junker;enricogior;mykhailopylyp,enricogior,mykhailopylyp,,dedavis6797,
microsoft/PowerToys,10143,"[ColorPicker] Select Textbox content on focus/tabbing  棣冩憫 Not sure if this should be a request or a bug report, but when tabbing or selecting the contents of the HEX and RGB Textboxes, my expectation is that the contents should be selected to allow changing without having to then select it myself.


![image](https://user-images.githubusercontent.com/7389110/110588989-b3080e00-816d-11eb-8b17-3d2e2200ab1b.png)",niels9001,Issue-Bug;Resolution-Fix-Committed;Area-User Interface;Product-Color Picker,2021-03-10T06:56:22Z,2021-04-01T17:42:39Z,mdtauk,enricogior;niels9001;crutkas;martinchrzan,mdtauk;Aaron-Junker;enricogior,enricogior,,,crutkas,
microsoft/PowerToys,10178,"[Installer] Cancel first step of update not stopping other steps <!--
**Important: When reporting BSODs or security issues, DO NOT attach memory dumps, logs, or traces to Github issues**.
Instead, send dumps/traces to secure@microsoft.com, referencing this GitHub issue.
-->

## 閳 Computer information

- PowerToys version: 0.33.1
- PowerToy Utility: setup
- Running PowerToys as Admin: yes
- Windows build number: 1903

## 棣冩憫 Provide detailed reproduction steps (if any)

1. Start setup.exe
2. Stop while configure first step (I think it is the uninstall)

### 閴佹棑绗 Expected result

Uninstall cancelled and update process stops.

### 閴 Actual result

Uninstall canceled. After this dotnet cor gets downloaded and after cancel dotnet the install of pt is starting.

## 棣冩懖 Screenshots

no
",yuyoyuppe,Issue-Bug;Area-Setup/Install;Priority-2,2021-03-11T09:28:15Z,2021-10-14T16:58:24Z,htcfreek,enricogior;htcfreek;dedavis6797,htcfreek;enricogior;dedavis6797,enricogior,yuyoyuppe,,dedavis6797,
microsoft/PowerToys,10209,"Add app version for PowerToys telemetry We currently only retain the AppSessionGuid in our telemetry event tags' ""data"" field.

We should expand this to include PowerToys version number. This will improve our ability to diagnose problems with inaccuracies in our event querying.
",enricogior,Issue-Bug;Area-Setup/Install;Resolution-Fix-Committed;Area-Telemetry;Priority-1,2021-03-12T18:52:15Z,2021-05-03T06:16:38Z,dedavis6797,enricogior;crutkas,dedavis6797;enricogior,,dedavis6797,,enricogior,
microsoft/PowerToys,10210,"[PT Run] - Program plugin not pulling back exe naming.  (example: winword) <!--
**Important: When reporting BSODs or security issues, DO NOT attach memory dumps, logs, or traces to Github issues**.
Instead, send dumps/traces to secure@microsoft.com, referencing this GitHub issue.
-->

## 閳 Computer information

- PowerToys version: v0.33.1
- PowerToy Utility: PowerToys Run
- Running PowerToys as Admin: N/A
- Windows build number: 19042.867

## 棣冩憫 Provide detailed reproduction steps (if any)

1. Ensure the Program plugin is enabled for PowerToys Run
2. Open PowerToys run and try to launch cmd with the command `.cmd.exe`
3. Open PowerToys run again and try to launch Edge with the command `.msedge.exe`

### 閴佹棑绗 Expected result

Both commands successfully launch their corresponding applications.

### 閴 Actual result

cmd launches, but Edge does not.
",davidegiacometti,Issue-Bug;Product-PowerToys Run;Resolution-Fix-Committed;Severity-Regression;Priority-1,2021-03-12T22:35:22Z,2022-07-22T17:04:55Z,dedavis6797,htcfreek;dedavis6797;crutkas;royvou,dedavis6797;crutkas;htcfreek,crutkas,,,crutkas,
