Repo,IssueNum,Title_Description,Fixers,Labels,Created_at,Closed_at,Creator,Commentators,Label_adders,Label_removers,Assigns,Unassigns,Closer,Links
ant-design/ant-design,10006,"Setting refs in Form children not compatible with React.createRef() - [x] I have searched the [issues](https://github.com/ant-design/ant-design/issues) of this repository and believe that this is not a duplicate.

### Version
3.4.1

### Environment
Linux, Chrome 65

### Reproduction link
[https://codepen.io/fibbers/pen/XEGojx](https://codepen.io/fibbers/pen/XEGojx)

### Steps to reproduce
When using React 16.3's [`React.createRef`](https://reactjs.org/docs/refs-and-the-dom.html#creating-refs) and passing this to an `Input` _inside a `Form`_, the `ref` is parsed as either a `String` or a `function`.
However, `React.createRef` creates an object. This causes an error (see the browser-console in the Codepen).

### What is expected?
No error, just using the passed `ref`

### What is actually happening?
The error isn't thrown when using an `Input` outside of a `Form`, see https://codepen.io/fibbers/pen/KoEGoO.

---
It seems the error is caused by rc-form's [`createBaseForm`](https://github.com/react-component/form/blob/183d2b40e025cac1d61cf42fe3e18af7227f7248/src/createBaseForm.js#L334), however I wasn't able to reproduce it with just rc-form.

<!-- generated by ant-design-issue-helper. DO NOT REMOVE -->",afc163,棣冩偘 Bug;Inactive,2018-04-11T16:07:59Z,2020-03-13T06:52:36Z,fibbers,Pukka922;emersonlaurentino;afc163,ant-design-bot;afc163,afc163,afc163,,afc163,
ant-design/ant-design,10109,"input doesn't work with FieldDecorator in IE9 - [x] I have searched the [issues](https://github.com/ant-design/ant-design/issues) of this repository and believe that this is not a duplicate.

### Version
3.3.0

### Environment
Windows 10 / IE 9

### Reproduction link
[https://github.com/ant-design/ant-design.git](https://github.com/ant-design/ant-design.git)

### Steps to reproduce
git clone 3.2.0 --depth=1 https://github.com/ant-design/ant-design.git

npm install 

npm run start 

visit http://127.0.0.1:8001/components/form/

The input can not input anything in IE9  


### What is expected?
Input component can work with form 

### What is actually happening?
Input component can not input any text


<!-- generated by ant-design-issue-helper. DO NOT REMOVE -->",afc163,棣冩偘 Bug,2018-04-17T06:22:30Z,2018-06-14T09:30:32Z,jojoLockLock,lhr0909;LinusCenterstrom;afc163;bianlizuozishu;carvinlo;sharkwarn;lzp3021;benjycui,ant-design-bot;afc163,,afc163;benjycui,benjycui,afc163,
ant-design/ant-design,10196,"Spin 缂佸嫪娆 spinning 娑 true 閺冭圭礉鐞氶崠鍛帮紮閻ㄥ嫮绮嶆禒鏈佃厬婵″倹鐏夐張 position 娑 fixed 閻ㄥ嫬鍘撶槐鐙呯礉閸掓瑤绱扮悮瑜板崬鎼 - [x] I have searched the [issues](https://github.com/ant-design/ant-design/issues) of this repository and believe that this is not a duplicate.

### Version
3.4.2

### Environment
windows 10,chrome 66

### Reproduction link
[![Edit on CodeSandbox](https://codesandbox.io/static/img/play-codesandbox.svg)](https://codesandbox.io/s/mzw220y708)

### Steps to reproduce
[![Edit mzw220y708](https://codesandbox.io/static/img/play-codesandbox.svg)](https://codesandbox.io/s/mzw220y708)

### What is expected?
妞ょ敻娼板婃艾濮╅弮璁圭礉閺傚洤鐡ф惔鏃囥儱娴愮规艾婀鐏炲繐绠烽惃鍕娴愮规矮缍呯純娑

### What is actually happening?
閺傚洤鐡ч梾蹇曟絻妞ょ敻娼板婃艾濮╅懓灞剧泊閸

---
閻㈠彉绨鏉╂瑤绔撮弶css鐏炵偞褍鑹板毀
```css
.ant-spin-blur {
    -webkit-transform: translateZ(0);
}
```


<!-- generated by ant-design-issue-helper. DO NOT REMOVE -->",afc163,棣冩偘 Bug,2018-04-23T08:25:49Z,2018-06-15T06:10:06Z,hellohejinyu,ant-design-bot;afc163;hellohejinyu,ant-design-bot;afc163,afc163,afc163,,afc163,
ant-design/ant-design,10216,"Divider renders incorrectly with setting orientation and dashed at the same time - [ ] I have searched the [issues](https://github.com/ant-design/ant-design/issues) of this repository and believe that this is not a duplicate.

### Version
3.4.3

### Environment
React 16.3

### Reproduction link
[https://codepen.io/zheeeng/pen/mLVZxv](https://codepen.io/zheeeng/pen/mLVZxv)

### Steps to reproduce
Check the reproduction

### What is expected?
Text is positioned by orientation and only dashed line are rendered.

### What is actually happening?
Dashed line and solid line are both rendered.


<!-- generated by ant-design-issue-helper. DO NOT REMOVE -->",afc163,棣冩偘 Bug,2018-04-24T03:58:42Z,2018-04-24T12:18:08Z,zheeeng,zheeeng;afc163,afc163,,afc163,,afc163,
ant-design/ant-design,10265,"缂冩垹鐝娑撳﹦娈戦懝鍙夋緲閻㈢喐鍨氬搞儱鍙跨涙ê婀狟ug閿涘瞼鍋ｅ闁澶嬪ㄦ稉鏄忓婇敍灞惧瘻娴ｅ繘绱堕弽鍥︾瑝閸斻劋绔撮惄瀵感╅崝銊ょ窗鐎佃壈鍤ф稉瀣娼伴惃鍕澹婇弶鎸庡瘮缂侀悽鐔稿灇 - [x] I have searched the [issues](https://github.com/ant-design/ant-design/issues) of this repository and believe that this is not a duplicate.

### Version
3.4.3

### Environment
Chrome 63.0.3239.132閿涘苯绨茬拠銉ユ嫲閻滄晶鍐╃梾閸

### Reproduction link
[https://ant.design/docs/spec/colors-cn](https://ant.design/docs/spec/colors-cn)

### Steps to reproduce
1. 閹垫挸绱戞い鐢告桨 https://ant.design/docs/spec/colors-cn
1. 濠婃艾濮╅崚鎷屽婇弶璺ㄦ晸閹存劕浼愰崗鐑藉劥閸
1. 閻愮懓鍤闁澶嬪ㄦ稉鏄忓
1. 閹垫挸绱戦惃鍕澹婇弶澶歌厬閻愮懓鍤閸氬簼绗夐柌濠冩杹姒х姵鐖ｉ敍灞惧瘮缂侀崷銊╂粏澹婇柅澶嬪ㄩ棃銏℃緲娑撳﹦些閸
1. 娑撳鏌熼惃鍕澹婇弶澶哥窗閹镐胶鐢婚惃鍕鐐插

### What is expected?
閼瑰弶婢橀崣閸︺劑绱堕弽鍥╁仯閸戣茬暚閹存劖妞傞幍宥嗘纯閺傛媽澹婇弶

### What is actually happening?
閻愮懓鍤閸氬函绱濋幐浣虹敾閻ㄥ嫬鎮滈懝鍙夋緲娑撴晶鐐插炴禍鍡涙粏澹婇敍灞借壈鍤ч懝鍙夋緲閹镐胶鐢婚幍鈺併亣


<!-- generated by ant-design-issue-helper. DO NOT REMOVE -->",afc163,棣冩偘 Bug,2018-04-26T10:19:52Z,2018-04-27T14:10:16Z,timonwang,ant-design-bot,afc163,,afc163,,afc163,
ant-design/ant-design,10269,"Modal & Select = Uncaught Error: A DOM element reference is required - [x] I have searched the [issues](https://github.com/ant-design/ant-design/issues) of this repository and believe that this is not a duplicate.

### Version
3.4.3

### Environment
win10 chrome CRA package

### Reproduction link
[![Edit on CodeSandbox](https://codesandbox.io/static/img/play-codesandbox.svg)](https://codesandbox.io/s/j3ko7qwyk5)

### Steps to reproduce
Click selectbox
Choose an option
Close the modal that appears

### What is expected?
Modal closes without an error.

### What is actually happening?
Error. Modal closes, lags, and exception.

---
Check reproduction


<!-- generated by ant-design-issue-helper. DO NOT REMOVE -->",yesmeck,棣冩偘 Bug,2018-04-26T18:33:31Z,2018-04-28T15:24:39Z,Geczy,OctopussyO;Geczy,afc163,,afc163,,afc163,
ant-design/ant-design,10367,"AutoComplete displays key instead optionLabelProp when value same as key - [x] I have searched the [issues](https://github.com/ant-design/ant-design/issues) of this repository and believe that this is not a duplicate.

### Version
3.5.0

### Environment
docker node:8.9-alpine

### Reproduction link
[![Edit on CodeSandbox](https://codesandbox.io/static/img/play-codesandbox.svg)](https://codesandbox.io/s/7w2r393nmx)

### Steps to reproduce
Write '1' in autocomplete and select 'Number: 1'

### What is expected?
Autocomplete displays 'Number: 1'

### What is actually happening?
Autocomplete displays '1'


<!-- generated by ant-design-issue-helper. DO NOT REMOVE -->",zinkey,棣冩偘 Bug;Inactive,2018-05-04T12:02:51Z,2019-02-05T12:15:16Z,SG5,tfwww;afc163,ant-design-bot;afc163,,afc163,,afc163,
ant-design/ant-design,10371,"Broken Input component style with addons - [X] I have searched the [issues](https://github.com/ant-design/ant-design/issues) of this repository and believe that this is not a duplicate.

### Version
3.5.0

### Environment
all

### Reproduction link
[![Edit on CodeSandbox](https://codesandbox.io/static/img/play-codesandbox.svg)](https://codesandbox.io/s/qk3kl3jmm4)

### Steps to reproduce
Just open the attached demo

### What is expected?
That left/right addons are properly aligned with the input field

### What is actually happening?
If the `<Input>` component is inside a `<form>` element it is displayed in a wrong way.

---
It happens due to this line https://github.com/ant-design/ant-design/blob/9368e2df87721caeee149fcf0e317033a81b234c/components/form/style/index.less#L256 that was introduced by this commit https://github.com/ant-design/ant-design/commit/3d079af7cd2fdc72d9455e54738727824596aad4

Maybe that the fix is just a revert of that commit.


<!-- generated by ant-design-issue-helper. DO NOT REMOVE -->",afc163,棣冩偘 Bug,2018-05-04T16:19:30Z,2018-05-05T11:51:18Z,chrvadala,,afc163,,afc163,,afc163,
ant-design/ant-design,10383,"缁旀瑧鍋ｆ径鎾鍎撮悧鍫熸拱閸欓庢畱閸︾増鏌熼弰鍓с仛闁挎瑤缍 - [ ] I have searched the [issues](https://github.com/ant-design/ant-design/issues) of this repository and believe that this is not a duplicate.

### What problem does this feature solve?
閺勫墽銇氶惃鍕妫舵０

### What does the proposed API look like?
閺勫墽銇氭總鐣屾箙




![1](https://user-images.githubusercontent.com/18542211/39669242-c75b1416-5118-11e8-8bef-13af2bee4dc7.png)



<!-- generated by ant-design-issue-helper. DO NOT REMOVE -->",afc163,棣冩偘 Bug,2018-05-06T02:33:00Z,2018-05-06T06:56:18Z,kaoding,ant-design-bot;afc163,afc163,,afc163,,afc163,
ant-design/ant-design,10397,"DatePicker缁備焦銏ゅ嬪ㄩ弮鍫曟？閺堝愭６妫 - [ ] I have searched the [issues](https://github.com/ant-design/ant-design/issues) of this repository and believe that this is not a duplicate.

### Version
3.5.0

### Environment
Windows閵嗕浇鑳哄

### Reproduction link
[https://github.com/ant-design/ant-design/issues/new](https://github.com/ant-design/ant-design/issues/new)

### Steps to reproduce
閸忓牅绗夐柅澶嬫）閺堢噦绱濋惄瀛樺复闁澶嬪ㄩ弮鍫曟？閿涘瞼鍔ч崥搴″晙閻愮懓鍩嗛惃鍕婀撮弬鐧哥礉姒涙裤倝澶嬪ㄩ惃鍕妲告禒濠傘亯閻ㄥ嫭妫╅張

### What is expected?
娴犲﹤銇夐惃鍕妫╅張鐔告拱閺夈儲妲哥粋浣广垽澶屾畱閿涘瞼骞囬崷銊﹀厒鐟曚礁鍘涢柅澶嬪ㄩ弮鍫曟？閻ㄥ嫭妞傞崐娆撶帛鐠併倝澶嬪ㄩ弰搴°亯閻ㄥ嫭妞傞梻纾嬪奔绗夐弰娴犲﹤銇夐惃鍕妞傞梻

### What is actually happening?
闁澶嬪ㄦ禍鍡曠矕婢垛晝娈戦弮銉︽埂

---
閸ョ姳璐熼幋鎴ｇ箹鏉堣勬Ц鐎规碍妞傞崣鎴︿椒淇婇幁閻ㄥ嫸绱濇稉宥堝厴鐠佲晝鏁ら幋鐑藉婂煂娴犲﹤銇夐惃鍕妞傞梻杈剧礉閼板矁绻栨稉閼充粙澶婂煂娴犲﹤銇夐惃鍕妞傞梻


<!-- generated by ant-design-issue-helper. DO NOT REMOVE -->",zombieJ,棣冩偘 Bug;Inactive,2018-05-07T07:14:49Z,2020-03-13T06:28:57Z,kenneyHong,ant-design-bot;kenneyHong;yesmeck;hengkx;Veveue;yurentle,yesmeck;ant-design-bot,yesmeck,afc163,afc163,afc163,
