Repo,IssueNum,Title_Description,Fixers,Labels,Created_at,Closed_at,Creator,Commentators,Label_adders,Label_removers,Assigns,Unassigns,Closer,Links
electron/electron,10043,"Crash while double click on tray. <!--
Thanks for opening an issue! A few things to keep in mind:

- The issue tracker is only for bugs and feature requests.
- Before reporting a bug, please try reproducing your issue against
  the latest version of Electron.
- If you need general advice, join our Slack: http://atom-slack.herokuapp.com
-->

* Electron version: 1.6.11
* Operating system: Windows 10 VM (VBox)

### Expected behavior
App not crashed
<!-- What do you think should happen? -->

### Actual behavior
App crashing on double click on tray if setup listeners for click and double click
<!-- What actually happens? -->

### How to reproduce

<!-- 

Your best chance of getting this bug looked at quickly is to provide a REPOSITORY that can be cloned and run.

You can fork https://github.com/electron/electron-quick-start and include a link to the branch with your changes.

If you provide a URL, please list the commands required to clone/setup/run your repo e.g.

  $ git clone $YOUR_URL -b $BRANCH
  $ npm install
  $ npm start || electron .

-->
[electron-tray-click&dblclick-crash.zip](https://github.com/electron/electron/files/1152700/electron-tray-click.dblclick-crash.zip)",groundwater,platform/windows;bug :beetle:;2-0-x,2017-07-17T13:18:34Z,2019-06-25T05:03:19Z,ghost,zeke;ghost;groundwater;alper-teke;towfiqi;codebytere,zeke;codebytere,codebytere,zeke,,codebytere,
electron/electron,1005,"Contractions always appear as spelling errors We're using the `spellchecker` module within the `preload` script of a renderer process, and have followed the basic steps for setting it up as the provider via [`web-frame`](https://github.com/atom/atom-shell/blob/master/docs/api/web-frame.md).

However, it seems to break words at the apostrophe mark rather than process the complete contraction. I'm not sure if this is an issue with the dictionary or the affix file, but the result is undesirable:

![](https://s3.amazonaws.com/f.cl.ly/items/3Z0g2b2b221K2R0A412z/Image%202015-01-13%20at%203.01.06%20PM.png)

Any ideas on what's happening?
",nitsakh,bug :beetle:,2015-01-13T23:52:37Z,2021-03-09T16:57:48Z,CharlieHess,zcbenz;kevinlims;nirsmadar;anaisbetts;electron-triage,zcbenz;sofianguy,sofianguy,nornagon,,electron-triage,
electron/electron,10054,"Failed to get 'appData' path <!--
Thanks for opening an issue! A few things to keep in mind:

- The issue tracker is only for bugs and feature requests.
- Before reporting a bug, please try reproducing your issue against
  the latest version of Electron.
- If you need general advice, join our Slack: http://atom-slack.herokuapp.com
-->

* Electron version: 1.6.11
* Operating system: WIN10

### Expected behavior
![733c1ee9-1c37-470a-a2f1-5b369084b895 _](https://user-images.githubusercontent.com/3371163/28317142-56a441ee-6bf8-11e7-88db-396389d6ca9c.jpg)

<!-- What do you think should happen? -->

### Actual behavior

<!-- What actually happens? -->

### How to reproduce
```bash
cnpm i -g electron
electron -v
```
<!-- 

Your best chance of getting this bug looked at quickly is to provide a REPOSITORY that can be cloned and run.

You can fork https://github.com/electron/electron-quick-start and include a link to the branch with your changes.

If you provide a URL, please list the commands required to clone/setup/run your repo e.g.

  $ git clone $YOUR_URL -b $BRANCH
  $ npm install
  $ npm start || electron .

-->
",groundwater,platform/windows;bug :beetle:,2017-07-18T12:31:36Z,2018-09-24T05:05:20Z,kerwin612,zeke;MarshallOfSound;crazy-max;kerwin612;robinwassen;codebytere;Halkcyon;jamesxsc;Aminechakr,zeke,,zeke,,codebytere,
electron/electron,10163,"Electron application icon in KDE env * Electron version: not clear which one is used in latest riot-web: 0.11.4
* Operating system: Linux Ubuntu 16.04 (KDE Neon Packages KDE Plasma 5.10.4)

### Expected behavior
[They said](https://bugs.kde.org/show_bug.cgi?id=382728#c7) application is using the deprecated system tray icon specification. The app should be ported to [StatusNotifierItem](https://www.freedesktop.org/wiki/Specifications/StatusNotifierItem/) under Linux.

### Actual behavior
Riot icon is violet blank square in KDE systray. Some screenshots to explain:
https://bugsfiles.kde.org/attachment.cgi?id=106945 - Riot icon in systray
https://bugsfiles.kde.org/attachment.cgi?id=106944 - Riot icon in task manager

### How to reproduce
Run Riot in latest KDE Plasma DE.",deepak1556,bug :beetle:,2017-07-31T08:16:31Z,2018-09-24T05:07:13Z,akontsevich,MTRNord;dos1;codebytere;akontsevich;MarshallOfSound,groundwater,,groundwater,,codebytere,
electron/electron,10218,"Navigating to another page will close all opened window 
* Electron version: 1.7.4
* Operating system: macOS Sierra 10.12.1

I opened one or more new windows and navigated to another page, the opened windows are closed.
e.g.,
Here is a page loaded by main window
```html
<a href=""https://www.google.com"" target=""_blank"">open new window</a>
<a href=""https://github.com/electron"">Navigate to electron github page</a>
```
I clicked ""open new window"" to create and show a BrowserWindow.
Then I clicked ""Navigate to electron github page"", the main window navigate to https://github.com/electron but the BrowserWindow just opened is closed.",zeke,platform/windows;platform/macOS;bug :beetle:;version/1.7.x,2017-08-08T06:45:09Z,2018-09-24T05:31:00Z,WhiteFur,WhiteFur;Vaggal;codebytere,sofianguy;zeke,,sofianguy,,codebytere,
electron/electron,10227,"App crashes on quit when calling `Notification#show` (main process) 2 times * Electron version: 1.7.4
* Operating system: MacOS

```
Exception Type:        EXC_BAD_ACCESS (SIGSEGV)
Exception Codes:       KERN_INVALID_ADDRESS at 0x0000000000000028
Exception Note:        EXC_CORPSE_NOTIFY
Termination Signal:    Segmentation fault: 11
Termination Reason:    Namespace SIGNAL, Code 0xb
Terminating Process:   exc handler [0]
VM Regions Near 0x28:
--> 
    __TEXT                 000000010c315000-000000010c316000 [    4K] r-x/rwx SM=COW  /Applications/Station Canary.app/Contents/MacOS/Station Canary
Thread 0 Crashed:: CrBrowserMain  Dispatch queue: com.apple.main-thread
0   com.github.electron.framework   0x000000010e8d6e0b brightray::Notification::~Notification() + 43
1   com.github.electron.framework   0x000000010e8cec4a brightray::CocoaNotification::~CocoaNotification() + 106
2   com.github.electron.framework   0x000000010e8cec79 brightray::CocoaNotification::~CocoaNotification() + 9
3   com.github.electron.framework   0x000000010e8cec8e brightray::CocoaNotification::~CocoaNotification() + 14
4   com.github.electron.framework   0x000000010e8d6c7f brightray::NotificationPresenter::~NotificationPresenter() + 63
5   com.github.electron.framework   0x000000010e8cf75b brightray::NotificationPresenterMac::~NotificationPresenterMac() + 75
6   com.github.electron.framework   0x000000010e8cf789 brightray::NotificationPresenterMac::~NotificationPresenterMac() + 9
7   com.github.electron.framework   0x000000010e8cf79e brightray::NotificationPresenterMac::~NotificationPresenterMac() + 14
8   com.github.electron.framework   0x000000010e8bdf50 brightray::BrowserClient::~BrowserClient() + 48
9   com.github.electron.framework   0x000000010e7edda9 atom::AtomBrowserClient::~AtomBrowserClient() + 137
10  com.github.electron.framework   0x000000010e7eddd9 atom::AtomBrowserClient::~AtomBrowserClient() + 9
11  com.github.electron.framework   0x000000010e7ede0e atom::AtomBrowserClient::~AtomBrowserClient() + 14
12  com.github.electron.framework   0x000000010e75b848 atom::AtomMainDelegate::~AtomMainDelegate() + 88
13  com.github.electron.framework   0x000000010e75b869 atom::AtomMainDelegate::~AtomMainDelegate() + 9
14  com.github.electron.framework   0x000000010e758b95 AtomMain + 85
15  org.efounders.BrowserXCanary    0x000000010c315f26 main + 38
16  libdyld.dylib                   0x00007fffcd1f3235 start + 1
```",MarshallOfSound,platform/macOS;bug :beetle:;version/1.7.x,2017-08-09T08:35:31Z,2017-10-27T23:33:31Z,alexstrat,MarshallOfSound;alexstrat,sofianguy,sofianguy,sofianguy,,MarshallOfSound,
electron/electron,10398,"Mixed mode sandbox breaks right-click context menu in devtools * Electron version: 1.7.6
* Operating system: macOS 10.12, Windows 10

### Expected behavior

Right clicking should open context menu in devtools

### Actual behavior

Right clicking does not open the context menu in devtools

### How to reproduce

- `open Electron.app --args --enable-mixed-sandbox`
- open devtools
- right click in the source tab for example",nitsakh,platform/windows;platform/macOS;bug :beetle:;version/1.7.x,2017-08-30T09:26:33Z,2018-03-22T07:15:58Z,miniak,,sofianguy,,nitsakh,,zcbenz,
electron/electron,10424,"BrowserWindow with customButtonsOnHover and frame:false no longer rounds the corners on Mac * Electron version: 1.7.5
* Operating system: macOS 10.12.6

### Expected behavior
The corners should be rounded like they were in 1.6.x

### Actual behavior
The browser windows corners are no longer rounded when running with electron 1.7.5

### How to reproduce
```
git clone https://github.com/emilylaguna/electron-quick-start.git
cd electron-quick-start
npm install
./node_modules/.bin/electron .
```
",zcbenz,platform/macOS;bug :beetle:,2017-09-01T21:31:43Z,2020-12-11T19:03:09Z,emilylaguna,envomer;JSzaszvari;sofianguy;astoilkov;bjoernm;pronebird;Jip-Hop,sofianguy;electron-triage,zcbenz;sofianguy,zcbenz,,codebytere,
