Repo,IssueNum,Title_Description,Fixers,Labels,Created_at,Closed_at,Creator,Commentators,Label_adders,Label_removers,Assigns,Unassigns,Closer,Links
microsoft/terminal,10003,"Crash in main when writing settings to disk twice ### Windows Terminal version (or Windows build number)

main

### Other Software

N/A

### Steps to reproduce

1. Open SUI
2. Navigate to any profile
3. Change any setting
4. Hit 'Save'
5. Hit 'Save' again
6. Crash

Alternatively:
1. Open SUI
2. Add a new profile
3. Hit 'Save'
4. Hit 'Save' again
5. Crash



### Expected Behavior

No crash

### Actual Behavior

Terminal crashes. The crash seems to happen in the `Model::DefaultTerminal::Current(_currentDefaultTerminal);` call in `CascadiaSettings::WriteSettingsToDisk()`, added in #9907 ",zadjii-msft,Resolution-Fix-Committed;Issue-Bug;Severity-Crash;Product-Terminal;Area-Settings UI,2021-04-30T04:17:19Z,2021-05-21T16:38:53Z,PankajBhojwani,DHowett;miniksa;zadjii-msft,PankajBhojwani,DHowett,DHowett;zadjii-msft,zadjii-msft,,
microsoft/terminal,10034,"Terminal crashes when running git log ### Windows Terminal version (or Windows build number)

Windows Build: 10.0.19042.964, Windows Terminal commit c3ca94cecaef5a9b22e94a7c34983b19cf77e252 built using Visual Studio 2019 16.9.3

### Other Software

PowerShell 7.1.3
oh-my-posh 3.133.1
posh-git 1.0.0
git 2.31.1.windows.1

### Steps to reproduce

- Start any shell with access to git (powershell, git bash, cmd)
- git clone the windows terminal repo
- git checkout master
- git log
- press space enough times to see this screen, one more space will kill it depending on the number of lines in the terminal


### Expected Behavior

git log shouldn't cause wtd to crash.

### Actual Behavior

![image](https://user-images.githubusercontent.com/802273/117086926-9e7e6700-ad13-11eb-8259-5d31c9b70f7b.png)

Press space after this screen and it wtd will crash leaving the following windows event log entry.

Fault bucket 1724119567131471671, type 5
Event Name: MoAppCrash
Response: Not available
Cab Id: 0

Problem signature:
P1: WindowsTerminalDev_0.0.1.0_x64__8wekyb3d8bbwe
P2: praid:App
P3: 0.0.0.0
P4: 6091d600
P5: DWrite.dll
P6: 10.0.19041.804
P7: 2f618cb5
P8: c0000005
P9: 00000000000cf34e
P10: 

Attached files:
\\?\WERD4E7.tmp.mdmp
\\?\WERD630.tmp.WERInternalMetadata.xml
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WERD641.tmp.xml
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WERD64F.tmp.csv
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WERD67E.tmp.txt

These files may be available here:
\\?\C:\ProgramData\Microsoft\Windows\WER\ReportArchive\AppCrash_WindowsTerminalD_14915a2eb4f1c128f427ee9d7511ba25d013a0ff_a3463a88_f44a4158-0e6d-4109-867f-3e07b7600941

Analysis symbol: 
Rechecking for solution: 0
Report Id: b377ecbe-9dab-4a05-beea-55614e8d7bb0
Report Status: 268435456
Hashed bucket: c432aee12ffbe1ec97ed4d9c8d2bef37
Cab Guid: 0
 
[CrashDetails.zip](https://github.com/microsoft/terminal/files/6424622/CrashDetails.zip)

[settings.zip](https://github.com/microsoft/terminal/files/6424649/settings.zip)
",skyline75489,Area-Rendering;Issue-Bug;Severity-Crash;Needs-Triage;Product-Terminal;Priority-1,2021-05-05T01:04:24Z,2021-05-11T19:14:35Z,dougheeren,DHowett;skyline75489;LuanVSO;dougheeren,DHowett,,DHowett,,DHowett,
microsoft/terminal,10053,"Terminal crashes when setting --tabColor in command line arguments ### Windows Terminal version (or Windows build number)

10.0.19042.0, 1.7.1033.0

### Other Software

Not other software, but I notice your default Windows Terminal version listed above is higher than my terminal version. I obtained mine from the Windows Store yesterday, so maybe this is fixed in a later version and you have yet to release that to the store?

### Steps to reproduce

1. Open Windows Terminal command line.
2. Attempt to create a new split window (vertical or horizontal) and set --tabColor
3. When typing past 1 character of tabColor, the terminal window will crash.

### Expected Behavior

For me to be able to type out my color value and not crash.

### Actual Behavior

Window crashes.",leonMSFT,Resolution-Fix-Committed;Issue-Bug;Severity-Crash;Product-Terminal;Needs-Tag-Fix;Priority-1;Area-CmdPal,2021-05-07T20:30:04Z,2021-05-17T02:51:51Z,MSEvanhi,zadjii-msft;MSEvanhi,zadjii-msft,zadjii-msft;DHowett,leonMSFT,,DHowett,
microsoft/terminal,10070,"The `nextTab` and `prevTab` actions do not work correctly when initiated via `wt.exe` or the command palette In short, `wt focus-tab --next` and `--previous` don't do anything at all on my system, while `Next tab` and `Previous tab` via the command palette behave oddly, although I can't imagine that the latter is often used by anyone.

### Windows Terminal version (or Windows build number)

1.8.1032.0

### Steps to reproduce

#### Case 1:
Run `wt -w new new-tab ; new-tab ; focus-tab --next` (or `--previous`).

#### Case 2:
Run `wt -w new new-tab ; new-tab`.

In the new window, run `wt -w 0 focus-tab --next` (or `--previous`).

#### Case 3:
Run `wt -w new new-tab ; new-tab ; new-tab`.

In the new window, open the command palette (by default using <kbd>Ctrl</kbd>+<kbd>Shift</kbd>+<kbd>P</kbd>) and type in `Next tab` (or `Previous tab`) <kbd>Enter</kbd>.

### Expected Behavior

#### Case 1:
The first tab is focused.

#### Case 2:
The first tab is focused.

#### Case 3:
The desired tab (according to the `tabSwitcherMode`) is focused.

### Actual Behavior

#### Case 1:
The `focus-tab` subcommand is ignored; the second tab remains focused.

#### Case 2:
The `focus-tab` subcommand is ignored; the second tab remains focused.

Note that in the two cases above, `wt focus-tab --target 0` works correctly.

#### Case 3:
This depends on the `tabSwitcherMode`:

 * `mru` 閳 the desired tab is focused for a split second, and then the originally-focused tab regains focus.
 * `inOrder` 閳 the desired tab is focused for a split second, and then tab index 0 gains focus.
 * `disabled` 閳 the desired tab is focused (there is no bug in this case).

----------

My apologies if I should have separated this into two issues.

Thanks!",leonMSFT;Don-Vito,Resolution-Fix-Committed;Issue-Bug;Product-Terminal;Needs-Tag-Fix;Priority-2;Area-Commandline,2021-05-10T17:50:14Z,2021-08-19T17:18:14Z,gurnec,zadjii-msft;DHowett;Don-Vito,zadjii-msft,DHowett,leonMSFT,,DHowett,
microsoft/terminal,10106,"[1.9] Crash opening Settings UI ### Windows Terminal version (or Windows build number)

10.0.18363.0

### Other Software

_No response_

### Steps to reproduce

1. Open Windows Terminal
2. Click the dropdown icon
3. Click settings

### Expected Behavior

Open SUI

### Actual Behavior

1. Freeze 1 second
2. Dropdown disappear
3. Freeze another 3 seconds
4. Terminal closes without any message",miniksa,Resolution-Fix-Committed;Issue-Bug;Severity-Crash;Needs-Triage;Product-Terminal;Priority-0;Area-Settings UI;Area-DefApp,2021-05-17T08:11:32Z,2021-05-27T17:53:01Z,M0nk3yH4cks,skyline75489;zadjii-msft;miniksa;psmolkin;j4james;M0nk3yH4cks;DHowett;GTechnology-biz,zadjii-msft,zadjii-msft,,,,
microsoft/terminal,10181,"[defapp] The default terminal subtitle is is difficult to read in High Contrast mode ### Windows Terminal version (or Windows build number)

1.9.1391.0

### Other Software

n/a

### Steps to reproduce

Enable High Contrast mode
Open Terminal's Settings page > Startup tab
Try to change the default terminal application

### Expected Behavior

Probably all text should be either solid white or solid black.  It looks like it's currently unconditionally set to SystemBaseMediumColor, which is #99FFFFFF even in HC mode.

### Actual Behavior

Some text is grey, which does not contrast well with the High Contrast accent color:

![image](https://user-images.githubusercontent.com/10259764/119559414-7b196b80-bd57-11eb-8c04-302a29294b82.png)
",miniksa,Resolution-Fix-Committed;Issue-Bug;Area-Accessibility;Needs-Triage;Product-Terminal;Priority-1,2021-05-25T20:00:14Z,2021-05-26T05:39:27Z,jtippet,zadjii-msft;miniksa,zadjii-msft,,miniksa,,,
microsoft/terminal,10190,"Win32 mouse coordinates wrong when viewport scrolled ### Windows Terminal version (or Windows build number)

1.9.1445.0

### Other Software

Using Yori's mouseover support, but anything else should work.  It's just unnatural to observe this with a TUI application like FAR manager (why scroll the viewport for a full screen TUI application?)  However, scrolling the viewport should show the same behavior for anything.

### Steps to reproduce

1. Fill the console with output until it scrolls.
2. Manually scroll the viewport up.
3. Generate mouse events and observe the coordinates that the event contains.

### Expected Behavior

Since I know Dustin doesn't like the idea of applications being able to address regions that have scrolled off the visible portion of the display at the bottom, I was expecting the application to observe coordinates corresponding to mouse location if that location is visible at the bottom of the viewport.  If the cell is not visible at the bottom of the viewport, I was expecting the reported location to be capped.

### Actual Behavior

The reported mouse coordinates assume that the window has not scrolled and report coordinates on the assumption that the visible viewport is the same as the bottom of the scroll region.  This causes the application to highlight/select the wrong text, several lines below where the mouse is positioned.

![terminal_mouseover](https://user-images.githubusercontent.com/17101641/119581871-4cf85380-bd78-11eb-93c5-830673d3c358.gif)
",PankajBhojwani,Resolution-Fix-Committed;Area-Input;Issue-Bug;Product-Terminal;Priority-2,2021-05-25T23:46:06Z,2021-09-22T19:41:02Z,malxau,DHowett;malxau;PankajBhojwani,zadjii-msft;DHowett,DHowett,DHowett,,,
microsoft/terminal,10194,"Windows terminal as default terminal application breaks WSL2 launch when WSL2 debugConsole is enabled ### Windows Terminal version (or Windows build number)

1.9.1445.0

### Other Software

1. WSL2
2. Windows 10 build 21387 or later, for the WSL2 `debugConsole` functionality

### Steps to reproduce

1. Install WSL2 + a distro and create the `%USERPROFILE%\.wslconfig` file with the following contents:

```
[wsl2]
debugConsole=true
```
2. Make sure that Terminal v1.9.1445.0 is installed, and that it's a) set as the default terminal b) has a profile for your WSL2 distro
3. Attempt to launch terminal in the WSL2 profile, either via the jump list or terminal's own profile menu

### Expected Behavior

1. WSL2 profile opens normally

### Actual Behavior

1. Windows terminal locks up and goes into a ""not responding"" state, with high system CPU usage from VM compute service
2. After the windows terminal process is killed, a legacy console window spawns with the expected WSL2 VM debug output
3. After the VM boots, another Windows terminal spawns without any tabs open, lacking any WSL profile, and doesn't respond to window close events
4. When the terminal instance from 3 is killed, and another one is spawned, this one will work normally",miniksa,Resolution-Fix-Committed;Issue-Bug;Product-Terminal;Priority-1;Area-DefApp,2021-05-26T02:46:40Z,2021-06-16T19:23:38Z,reynoldsa,rescenic;DHowett;miniksa,zadjii-msft,DHowett,DHowett,,,
microsoft/terminal,10199,"Quake Mode has incorrect window size after toggling fullscreen mode ### Windows Terminal version (or Windows build number)

Windows: 10.0.19043.0, Terminal: 1.9.1445.0

### Other Software

I am using 125 % DPI scaling

### Steps to reproduce

1. Invoke Quake Mode overlay
2. Press F11
3. Press F11 again

https://user-images.githubusercontent.com/1827784/119619525-61822d80-be04-11eb-91c1-004cdaefc9b1.mp4



### Expected Behavior

After leaving fullscreen mode, the quake bar should have the same size as before

### Actual Behavior

The window is moved to the right, there is a very noticeable gap between the window and the border of the screen
![image](https://user-images.githubusercontent.com/1827784/119619872-b756d580-be04-11eb-842e-84fd107357b6.png)
",zadjii-msft,Resolution-Fix-Committed;Issue-Bug;Area-User Interface;Product-Terminal;Priority-2,2021-05-26T07:28:33Z,2021-07-28T22:18:58Z,JensMertelmeyer,skyline75489;zadjii-msft,zadjii-msft,DHowett,zadjii-msft,,,
microsoft/terminal,10210,"Action for quake mode should be called ""Quake mode"" in SUI ### Windows Terminal version (or Windows build number)

1.9.1445.0

### Other Software

_No response_

### Steps to reproduce

Navigate to the Actions page in the Settings UI and scroll down to commands starting with S.

### Expected Behavior

Quake mode should be listed as ""Quake mode"".

### Actual Behavior

Quake mode is listed as ""Summon the Terminal window, name: _quake"".",zadjii-msft,Resolution-Fix-Committed;Issue-Bug;Product-Terminal;Area-Settings UI,2021-05-26T14:56:20Z,2021-07-12T22:31:17Z,cinnamon-msft,zadjii-msft;DHowett,cinnamon-msft;zadjii-msft,zadjii-msft;miniksa,cinnamon-msft;zadjii-msft,zadjii-msft,,
